comments_num,director,name,order,score,screenwriter,type
362746,是枝裕和,海街日记 海街diary,No.175,8.8,"是枝裕和,吉田秋生","剧情,家庭"
489299,迈克·内威尔,哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,No.174,8.7,"史蒂夫·克洛夫斯,J·K·罗琳","悬疑,奇幻,冒险"
162251,神山征二郎,忠犬八公物语 ハチ公物語,No.173,9.2,新藤兼人,剧情
520865,克里斯托弗·诺兰,记忆碎片 Memento,No.172,8.7,"克里斯托弗·诺兰,乔纳森·诺兰","剧情,悬疑,惊悚,犯罪"
422817,忻钰坤,心迷宫,No.170,8.7,"忻钰坤,冯元良,鲁妮凡","剧情,悬疑,犯罪"
512400,罗启锐,岁月神偷 歲月神偷,No.171,8.7,"罗启锐,张婉婷","剧情,家庭"
1173378,新海诚,你的名字。 君の名は。,No.169,8.5,新海诚,"剧情,爱情,动画"
503648,"彼特·道格特,罗纳尔多·德尔·卡门",头脑特工队 Inside Out,No.168,8.7,"彼特·道格特,罗纳尔多·德尔·卡门,梅格·勒福夫,乔什·库雷,迈克尔·阿恩特,西蒙·里奇,鲍勃·彼德森,比尔·哈德尔,艾米·波勒","喜剧,动画,冒险"
349022,吴宇森,纵横四海 緃横四海,No.167,8.8,"吴宇森,高志森,秦小珍","剧情,喜剧,动作,犯罪"
380871,让-马克·瓦雷,达拉斯买家俱乐部 Dallas Buyers Club,No.166,8.8,"克莱格·鲍登,梅丽莎·沃雷克","剧情,同性,传记"
365967,"拉娜·沃卓斯基,莉莉·沃卓斯基",黑客帝国3：矩阵革命 The Matrix Revolutions,No.165,8.8,"莉莉·沃卓斯基,拉娜·沃卓斯基","动作,科幻"
441901,吴宇森,英雄本色,No.163,8.6,"陈庆嘉,吴宇森,梁淑华","剧情,动作,犯罪"
360191,保罗·格林格拉斯,谍影重重3 The Bourne Ultimatum,No.164,8.8,"托尼·吉尔罗伊,乔治·诺非,斯科特·Z·本恩斯","动作,悬疑,惊悚"
702650,马丁·麦克唐纳,"三块广告牌 Three Billboards Outside Ebbing, Missouri",No.161,8.7,马丁·麦克唐纳,"剧情,犯罪"
1158320,奉俊昊,寄生虫 기생충,No.159,8.8,"奉俊昊,韩进元","剧情,喜剧"
522859,莫滕·泰杜姆,模仿游戏 The Imitation Game,No.158,8.7,"格拉汉姆·摩尔,安德鲁·霍奇斯","剧情,同性,传记,战争"
261645,"费尔南多·梅里尔斯,卡迪亚·兰德",上帝之城 Cidade de Deus,No.157,9.0,"保罗·林斯,布罗里欧·曼托伐尼","剧情,犯罪"
491321,王家卫,花样年华 花樣年華,No.162,8.7,王家卫,"剧情,爱情"
268200,特瑞·乔治,卢旺达饭店 Hotel Rwanda,No.156,8.9,"凯尔·皮尔森,特瑞·乔治","剧情,传记,历史,战争"
313135,宫崎骏,风之谷 風の谷のナウシカ,No.155,8.9,宫崎骏,"动画,奇幻,冒险"
730022,"柯克·德·米科,克里斯·桑德斯",疯狂原始人 The Croods,No.160,8.7,"克里斯·桑德斯,柯克·德·米科,约翰·克里斯","喜剧,动画,冒险"
315032,朴勋政,新世界 신세계,No.154,8.9,朴勋政,"剧情,犯罪"
440272,温子仁,电锯惊魂 Saw,No.153,8.7,"温子仁,雷·沃纳尔","悬疑,惊悚,恐怖"
288929,李安,喜宴 囍宴,No.152,8.9,"李安,冯光远,詹姆斯·夏慕斯","剧情,喜剧,爱情,同性,家庭"
comments_num,director,name,order,score,screenwriter,type
699866,达伦·阿伦诺夫斯基,黑天鹅 Black Swan,No.187,8.6,"安德雷斯·海因斯,马克·海曼,约翰·J·麦克劳克林","剧情,惊悚"
305882,理查德·林克莱特,爱在午夜降临前 Before Midnight,No.186,8.8,"理查德·林克莱特,朱莉·德尔佩,伊桑·霍克,金·克里桑","剧情,爱情"
450944,瑞奇·摩尔,无敌破坏王 Wreck-It Ralph,No.185,8.7,"菲尔·约翰斯顿,珍妮弗·李,瑞奇·摩尔,吉姆·里尔顿,约翰·C·赖利,山姆·J·莱文,贾里德·斯特恩","喜剧,动画,奇幻,冒险"
259361,弗兰克·德拉邦特,绿里奇迹 The Green Mile,No.184,8.9,"弗兰克·德拉邦特,斯蒂芬·金","剧情,悬疑,犯罪,奇幻"
704002,是枝裕和,小偷家族 万引き家族,No.183,8.7,是枝裕和,"剧情,家庭,犯罪"
