comments_num,director,name,order,screenwriter,type_one,type_two,type_three,type_four,type_five,score
443554,理查德·林克莱特,爱在日落黄昏时 Before Sunset,123,"理查德·林克莱特,朱莉·德尔佩,伊桑·霍克,金·克里桑",剧情,爱情,无,无,无,8.8
462772,米林宏昌,借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,124,"宫崎骏,丹羽圭子,玛丽·诺顿",动画,奇幻,冒险,无,无,8.7
439962,陈可辛,甜蜜蜜,125,岸西,剧情,爱情,无,无,无,8.7
439881,大森贵弘,萤火之森 蛍火の杜へ,126,绿川幸,剧情,爱情,动画,奇幻,无,8.7
565430,克里斯·哥伦布,哈利·波特与密室 Harry Potter and the Chamber of Secrets,127,"史蒂夫·克洛夫斯,J·K·罗琳",奇幻,冒险,无,无,无,8.8
645275,"迪恩·德布洛斯,克里斯·桑德斯",驯龙高手 How to Train Your Dragon,128,"威廉姆·戴维斯,迪恩·德布洛斯,克里斯·桑德斯,葛蕾熙达·柯维尔",动画,奇幻,冒险,无,无,8.7
375593,亚当·艾略特,玛丽和马克思 Mary and Max,129,亚当·艾略特,剧情,喜剧,动画,无,无,9.2
464656,史蒂文·斯皮尔伯格,幸福终点站 The Terminal,130,"安德鲁·尼科尔,萨沙·杰瓦西 ,杰夫·内桑森",剧情,喜剧,爱情,无,无,8.7
200395,"王树忱,钱运达",天书奇谭,131,"王树忱,包蕾",动画,奇幻,无,无,无,8.7
487531,蒂姆·波顿,大鱼 Big Fish,132,"Daniel Wallace,约翰·奥古斯特",剧情,家庭,奇幻,冒险,无,8.7
594361,中岛哲也,告白,133,"中岛哲也,凑佳苗",剧情,悬疑,无,无,无,8.5
525804,姜炯哲,阳光姐妹淘 ??,134,"姜炯哲,李炳宪",剧情,喜剧,无,无,无,8.7
546092,刘镇伟,射雕英雄传之东成西就 射鵰英雄傳之東成西就,135,刘镇伟,喜剧,奇幻,武侠,古装,无,8.8
556550,"彼特·道格特,大卫·西尔弗曼,李·昂克里奇","怪兽电力公司 Monsters, Inc.",136,"安德鲁·斯坦顿,丹尼尔·吉尔森,罗伯特·L·贝尔德,瑞特·里斯,乔纳森·罗伯特 ,彼特·道格特,杰夫·皮金,吉尔·卡尔顿,拉夫·埃格尔斯顿",喜剧,动画,儿童,奇幻,冒险,8.8
511026,理查德·柯蒂斯,时空恋旅人 About Time,137,理查德·柯蒂斯,喜剧,爱情,奇幻,无,无,8.8
818149,"皮埃尔·柯芬,克里斯·雷纳德",神偷奶爸 Despicable Me,138,"肯·道里欧,塞尔希奥·巴勃罗斯,辛科·保罗",喜剧,动画,冒险,无,无,8.6
549535,金秉祐,恐怖直播 ? ?? ???,139,金秉祐,剧情,悬疑,犯罪,无,无,8.8
661716,乔·赖特,傲慢与偏见 Pride & Prejudice,140,"简·奥斯汀,黛博拉·莫盖茨",剧情,爱情,无,无,无,8.7
428693,李·昂克里奇,玩具总动员3 Toy Story 3,141,"迈克尔·阿恩特,约翰·拉塞特,安德鲁·斯坦顿,李·昂克里奇",喜剧,动画,奇幻,冒险,无,8.8
300719,弗朗西斯·福特·科波拉,教父3 The Godfather: Part III,142,"马里奥·普佐,弗朗西斯·福特·科波拉",剧情,犯罪,无,无,无,8.7
